Title,Contents,Date
단기알바 질문있어요,"종종 보이던 단기알바(포장검수같은)였고 구글에서 찾아보니 욕은 좀 있지만 후기도 있더라구요지원한지 30분인가? 되지도 않있는데 그쪽에서 문자가 오더라구요. 이름, 나이, 전번, 주민번호 앞자리, 통장번호 달라그래서 평소라면 제가 의심했을텐데 지난주에 다른 곳 단기 알바에서도 문자왔었거든요 근데 그때 제가 당일 정보를 안줬다고 취소했다고 하더라구요 그래서 이번엔 얼른 정보를 줬는데 한 3시간 지났는데도 연락이 없어서요 혹시 이걸로 명의 도용되거나 대출사기 같은거 당할 수도 있을까요ㅠ",2025-01-26
pc방 알바 어떤가요?ㅜㅠㅠㅠ,알바 구하다가 피씨방 알바 해보려고 하는데 어떤가요?요즘 피씨방 음식도 되게 많아지고 하던데 괜찮을까요?,2025-01-26
경기도 이천에있는,경기도 이천 포교리 712 에있는  DHL 물류센터 젊은 남여분들 많나요? 텃새는 있나요,2025-01-26
낼부터 목요일까지 쿠팡 확정오면 좋겠어요,낼부터 목요일까지쿠팡 확정 오면 좋겠어요,2025-01-26
카페알바 일주일차인데 그만 두는게 나을까요..??,제가 갓 20살이라 첫 알바로 카페알바를 하게됐는데 지금 수습기간 일주일동안 실수를 너무 많이해서 저랑 잘 안맞는거같은데.. 그만 두는게 더 도움될까요..?,2025-01-26
2/3일부터.2/28일까지알바,3/4일부터 하려는게있는데 2/3일부터.2/28일까지알바할수있나요? 생산직이요,2025-01-26
올리브영 양지 야간 핸드폰,처음으로 이번에 위너스로 올리브영 양지 야간 갈거같은데 일할때 핸드폰 바지 주머니에 넣고 있어도 되는거야?쿠팡같은 곳은 사물함에 넣어야 하잖아여긴 사물함에 열쇠도 없다니 불안해서사용안해도 들고는 들어갈 수 있어?설연휴 잘 보내,2025-01-26
치과 데스크에서 근무 경험 있으신 분 계실까요??,주로 어떤 업무를 맡게 되나요?처음인데 많이 어려울까요..?!가능하면 오래 근무하고 싶은데 가능할까요?ㅠ답변 주시면 감사하겠습니다!!,2025-01-26
올리브영 알바 하지마세요,점장 1명 직원 1명 알바생 10명 정도 있는 규모의 매장이었는데 갑질이 진짜 어마어마했고 이제 이 동네 올영에서 일 할 생각은 안 하는게 좋을거다 퇴사까지 남은 한 달 일하는거 보고 좋게 평가해주든 말든 하겠다 정 올영이 하고 싶으면 먼 지방에 있는 올영 가라 이런 말 듣고 퇴사합니다 규모가 작은 매장에서도 갑질이 이정도였는데 점장 직원 더 많은 매장에서는 얼마나 심할까 싶네요 출근 때마다 가정교육 운운하는건 기본이었습니다고객 컴플레인에는 세상 민감한데 소속 알바생은 생각도 안 하는게 진짜 최악이네요,2025-01-26
에슐리 Ak 기흥점 가지 마세요 절대,힘든건 다 남자시키고 여기 존나 여초라서 정치질 ㅈ됨 무전기로 소통하고 일하는데 매니저가 자기 기분 안좋으면 무전기로 알바들한테 꼽주고 자기가 좋아하는 애들한테는 혜택줌 그리고 알바애들도 질 안좋음 여기서ㅜ일 열시히 하고 잘 해봤자 손해임 그 사람만 더 일시키고 매니저한테 밉보이면 안됨일 ㅈ도 못하고 근태 안좋아도 매니저 맘에만 들면 안짜르고 일 잘하고 지각 한번 안하는 사람중에 매니저한테 조금이라도 밉보이면 짤림여기 사람 잘짜름,2025-01-26
곤쿠와 용쿠의 차이,곤쿠는 용쿠 딱 반만하다곤쿠는 알바들 대부분이 이십대가 많고용쿠는 사십대 이상이 많다어린애들이 별로 없음곤쿠는 근무시간중에 방송 거의 안하는데용쿠 레오는 십분에 한번씩 방송함용쿠는 밥이 잘나오는데곤쿠는 깔끔하긴한데 먹을게 별로 없고식당이랑 휴게실이 밖에 잇다내 개인적인 생각으로는 곤쿠가 용쿠보다 일이 편함,2025-01-26
